video_id,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Closest Text Type,category,corpus,color
b-b2HXFa1Es,53.67,-6.92,-5.73,-0.28,-3.92,-0.14,Intimate interpersonal interaction,People & Blogs,Y,2
B-nE0Fh-nAQ,26.69,-3.02,-2.21,-0.57,1.15,2.5,Informational interaction,Entertainment,Y,2
B-o04pXqCGE,12.75,-4.56,-0.0099999999999998,0.68,-1.5,1.64,Involved persuasion,Education,Y,2
B02FOHED2Wo,-3.91,-1.44,5.4,1.35,0.26,1.4,General narrative exposition,News & Politics,Y,2
b0xB59M-iEI,16.4,-1.75,-1.28,-1.63,-3.61,-0.85,Involved persuasion,Sports,Y,2
B1Kd9cZsjLM,25.81,-2.45,-3.18,2.47,-1.78,-0.43,Informational interaction,Entertainment,Y,2
b1mp83n0uP4,39.57,-1.93,-1.96,1.93,-3.39,0.0399999999999999,Intimate interpersonal interaction,People & Blogs,Y,2
b1mSahIhOqY,17.44,2.37,-2.16,-2.9,-3.15,-2.88,Informational interaction,Gaming,Y,2
B1PCLeYJ0mU,22.88,-3.75,-1.02,-4.13,-3.44,-1.24,Informational interaction,Film & Animation,Y,2
b251GmL9Pug,24.47,-6.78,5.48,-5.49,1.95,0.84,Informational interaction,Entertainment,Y,2
B4MLN4xzemo,13.23,-4.07,0.33,2.02,-0.04,1.64,Involved persuasion,Pets & Animals,Y,2
B5FJpZQbswo,35.59,-3.09,-3.36,-4.88,-1.76,4.38,Informational interaction,People & Blogs,Y,2
B5jikLZhFLM,18.09,-4.91,-2.06,4.82,-1.31,1.16,Informational interaction,News & Politics,Y,2
b6d0qWb0MJk,22.21,-4.14,-3.58,4.67,-3.18,1.71,Informational interaction,Howto & Style,Y,2
b6XLe3wnoPc,20.53,-2.43,-3.85,1.51,-1.93,0.91,Informational interaction,Education,Y,2
b7Plu03Fp7I,22.0,-3.04,-1.6,-2.21,-2.55,4.55,Informational interaction,Howto & Style,Y,2
B8NkWgzR6NQ,3.97,-3.18,0.83,-0.26,-0.83,-0.38,Involved persuasion,Science & Technology,Y,2
b8xIaeTHUls,32.8,-1.68,-4.58,1.39,-2.35,0.95,Informational interaction,Education,Y,2
b9AmqOKA3Q8,2.51,-2.87,2.65,5.1,-0.31,-1.24,Involved persuasion,Music,Y,2
baQQfoX-JXo,-10.45,-6.35,-0.58,0.76,-2.56,-1.52,General narrative exposition,Science & Technology,Y,2
BB1AuiI3ptM,15.46,-3.69,-1.28,0.44,-0.61,0.5,Involved persuasion,Education,Y,2
BBgyOV60rkg,21.14,-3.54,-3.41,-0.46,-3.35,0.29,Informational interaction,Entertainment,Y,2
bBGyxfHRKeE,30.28,-3.25,-1.53,1.06,-2.11,1.28,Informational interaction,People & Blogs,Y,2
BBllJa8VE2Q,36.21,-5.14,-0.43,0.31,-3.05,1.36,Informational interaction,People & Blogs,Y,2
BbsIei4V0DQ,5.04,-3.51,-3.36,4.05,-0.51,1.17,Involved persuasion,Entertainment,Y,2
BbsKL-1KZKo,18.37,-6.45,-1.34,0.05,-1.09,0.09,Informational interaction,Travel & Events,Y,2
bBvae8h4EZ0,8.49,-3.02,1.53,0.86,0.41,2.26,Involved persuasion,Education,Y,2
bc-x9E9uiFU,13.85,-4.5,-2.58,-1.13,-2.63,-0.64,Involved persuasion,Entertainment,Y,2
bc7863f-u_8,9.34,1.83,4.25,5.48,1.73,-0.59,Involved persuasion,Education,Y,2
Bcrhtjk0RaM,-4.8,-1.5,1.45,-0.36,3.83,0.22,General narrative exposition,Entertainment,Y,2
bcyvgulOpXw,25.48,-3.52,-4.51,0.02,-2.54,0.41,Informational interaction,Gaming,Y,2
BD0v21InwaM,14.71,-1.35,1.1,-0.94,-0.21,-0.69,Involved persuasion,People & Blogs,Y,2
BDbHF8NbB-I,-1.34,1.15,-0.6,1.14,-0.22,0.05,Involved persuasion,Comedy,Y,2
BdIverbEEms,38.47,-3.7,-1.79,-0.73,-0.39,1.83,Intimate interpersonal interaction,People & Blogs,Y,2
BDqop_YGnnc,4.68,-2.87,3.87,-0.5,2.35,0.38,Involved persuasion,News & Politics,Y,2
bFnrKnzn-nE,28.44,-0.15,0.0500000000000003,-2.37,-3.37,2.79,Informational interaction,Sports,Y,2
bFORiduAKJM,29.26,-6.17,-6.09,4.66,-0.53,3.67,Informational interaction,Film & Animation,Y,2
BHjUpmGal6s,7.27,-2.79,-2.25,-0.7,0.55,1.89,Involved persuasion,People & Blogs,Y,2
bhMN0lBnvrk,22.76,-4.18,-3.76,2.4,0.04,0.15,Informational interaction,People & Blogs,Y,2
BHyw3Q3PCvM,13.63,-4.24,-5.02,-1.37,-2.0,3.35,Involved persuasion,Entertainment,Y,2
bI_hs0G860k,31.19,-3.8,-1.8,0.84,-2.31,-1.14,Informational interaction,People & Blogs,Y,2
bJUUnXZVIfY,18.92,1.28,-2.84,2.85,-3.24,-2.97,Informational interaction,Music,Y,2
BkDRhKHTyEw,9.2,-4.04,2.91,4.75,-1.58,0.24,Involved persuasion,Entertainment,Y,2
BKGtGLpTOY0,13.8,-3.79,-2.96,-2.16,-3.14,0.62,Involved persuasion,Howto & Style,Y,2
BkpMGhBPqdk,25.64,-4.56,-4.59,5.09,1.94,-0.21,Informational interaction,People & Blogs,Y,2
Bl8mRkDV5FU,15.76,-4.44,-4.54,-1.76,-1.63,2.04,Involved persuasion,Howto & Style,Y,2
ble0xFoJcNY,5.63,-3.77,-2.25,1.24,1.4,-1.05,Involved persuasion,Science & Technology,Y,2
BLoN042AqfU,20.81,-2.32,-2.3,-0.67,-2.76,-0.38,Informational interaction,Gaming,Y,2
bluHEtObbmg,14.15,-3.55,-0.24,-0.28,-3.19,0.14,Involved persuasion,Film & Animation,Y,2
BmJuM2NG-Es,27.15,-5.2,-2.38,3.86,-1.7,3.92,Informational interaction,Entertainment,Y,2
bmVs2RQwhIc,10.38,-1.89,0.11,1.18,0.84,2.31,Involved persuasion,Gaming,Y,2
bolrwKtcBKo,16.19,-6.51,-3.71,-0.61,-2.34,-1.76,Involved persuasion,People & Blogs,Y,2
BoRwRf791BU,23.58,-4.49,-7.41,3.63,3.3,-0.97,Informational interaction,People & Blogs,Y,2
BP98kLvwp2E,10.47,-0.87,0.77,1.42,-0.55,1.35,Involved persuasion,News & Politics,Y,2
bPpXK7MnXpE,30.03,1.11022302462516e-16,-1.67,-1.74,-1.77,0.05,Informational interaction,Entertainment,Y,2
Bps3edHTNRw,-0.14,-3.23,0.43,5.71,1.75,0.21,Involved persuasion,Education,Y,2
BptcWssY-xU,21.41,-1.85,-1.42,-2.75,-3.13,2.26,Informational interaction,Sports,Y,2
BpX7gQmtPd0,21.91,-2.1,-3.44,-1.76,-1.87,0.1,Informational interaction,Autos & Vehicles,Y,2
bq-yM36S8P4,26.2,-5.15,-0.0899999999999996,0.44,-2.34,-0.12,Informational interaction,Science & Technology,Y,2
BqGCzi0Is6s,13.96,-5.24,0.82,-1.08,-2.09,0.36,Involved persuasion,People & Blogs,Y,2
BQVtcvgfk5c,5.91,-3.33,3.61,3.24,1.62,-0.33,Involved persuasion,People & Blogs,Y,2
bRF4ptklw_8,17.93,-4.81,2.22,-0.8,-2.56,-1.91,Involved persuasion,Film & Animation,Y,2
BsKtDfMjHEo,4.43,-0.07,-6.07,-5.45,-1.85,1.12,Situated reportage,Sports,Y,2
BsV_xmwOS0k,21.62,-3.41,0.32,3.86,0.77,1.09,Informational interaction,Education,Y,2
bSyydbVOETY,22.17,1.41,-0.52,-2.2,-2.33,1.43,Informational interaction,Sports,Y,2
BtHOhHCnB7A,28.89,-3.27,-3.58,2.95,-2.08,1.97,Informational interaction,People & Blogs,Y,2
bTVzUGnSTg4,2.61,-3.22,1.52,1.0,3.1,0.89,Involved persuasion,Entertainment,Y,2
bUKMS-Cxv3w,26.23,-1.4,-7.82,2.71,-0.85,2.16,Informational interaction,People & Blogs,Y,2
BUR5xAfg7e4,47.58,-4.61,-6.44,0.5,-2.67,-1.43,Intimate interpersonal interaction,Entertainment,Y,2
BvdT6lX85u8,18.9,-3.17,-4.92,1.56,-2.27,0.15,Informational interaction,Film & Animation,Y,2
bVOotlaiYhg,21.61,-3.89,-1.16,2.7,-1.35,0.19,Informational interaction,Education,Y,2
bvTMTe-TF1c,11.38,-3.38,-3.4,-1.94,-3.09,-1.15,Involved persuasion,People & Blogs,Y,2
BvZOMl-ZrjE,15.2,-1.24,2.42,-2.35,-2.11,0.79,Involved persuasion,Entertainment,Y,2
BwlUuwUq8Bw,25.82,-1.33,-2.85,0.66,-1.47,-0.52,Informational interaction,Howto & Style,Y,2
BwQP8PbDWnI,24.27,-1.56,-0.39,-1.58,-3.21,1.14,Informational interaction,Entertainment,Y,2
BWWt-disorM,18.11,-5.67,-1.73,0.75,0.33,0.11,Informational interaction,Science & Technology,Y,2
bXuSPoHrvpg,21.0,-1.42,0.43,-1.06,-1.71,1.57,Informational interaction,Entertainment,Y,2
By7sVb2IhFs,5.91,-5.23,-1.64,-2.19,1.47,-0.64,Involved persuasion,Education,Y,2
BYJBxD6b9EY,20.36,-5.6,-4.2,2.55,-1.54,1.05,Informational interaction,Film & Animation,Y,2
bzqXxNunVFg,19.25,-4.9,-3.9,-1.64,-1.2,0.67,Informational interaction,People & Blogs,Y,2
bZsSzIthXbI,31.78,-5.31,-2.21,0.05,-1.03,0.24,Informational interaction,People & Blogs,Y,2
bZuqoRscxdE,5.56,-4.66,-0.03,6.09,3.07,1.34,Involved persuasion,Gaming,Y,2
BZvmSUfgm7g,27.57,-2.87,-1.71,-1.05,-2.77,0.98,Informational interaction,Sports,Y,2
B_15eFaIKA8,20.0,-1.64,1.01,0.51,-3.23,1.64,Informational interaction,Gaming,Y,2
B_P2sk5aMSs,17.88,-2.87,-1.22,-2.02,-2.39,-0.82,Informational interaction,Entertainment,Y,2
C-cVv15U-24,18.48,-1.77,-4.75,-2.91,-2.83,-1.43,Informational interaction,Gaming,Y,2
C-lv6akmNZo,30.91,-3.02,-3.21,-0.97,-1.66,3.67,Informational interaction,Howto & Style,Y,2
C-mWeQCO0Vo,17.08,-3.86,-1.66,5.17,-1.6,1.14,Involved persuasion,Pets & Animals,Y,2
C-wY35XvGuk,25.86,2.54,-1.14,1.09,-0.57,-1.04,Informational interaction,Sports,Y,2
C2c0QRTHffc,25.6,-2.59,-0.76,-5.77,-3.47,-0.31,Informational interaction,Gaming,Y,2
C2Y_RioRxO0,17.57,-1.7,-0.95,6.64,-1.45,1.5,Involved persuasion,Entertainment,Y,2
C3RBVH3kjYM,1.77,-1.61,-2.66,5.19,2.41,3.03,Involved persuasion,Education,Y,2
c5CPyLlSWQ8,3.06,-1.23,-3.39,-2.17,-1.23,1.46,Involved persuasion,Sports,Y,2
c616UC8gedE,15.01,-5.23,-4.56,3.8,3.32,0.13,Involved persuasion,Gaming,Y,2
c6rry83ECTE,14.7,-5.93,-2.36,-0.0800000000000001,-0.25,0.35,Involved persuasion,Music,Y,2
c7nUDLKKEBY,-8.78,-0.13,0.54,0.9,2.52,-0.26,General narrative exposition,Education,Y,2
CaCFeaeNKoo,16.61,-4.14,-3.17,2.08,1.42,-0.45,Involved persuasion,Gaming,Y,2
CACkvB0mb1A,25.31,-2.53,-2.57,1.98,1.32,1.67,Informational interaction,Gaming,Y,2
CbAlzEvgdj4,24.32,-3.2,-0.23,3.83,-2.23,3.93,Informational interaction,News & Politics,Y,2
CBCoDHG4BqU,35.33,-2.28,-3.78,-1.99,-3.32,-1.55,Informational interaction,Entertainment,Y,2
cbLp2GRXSY4,27.36,-2.32,-5.01,-2.44,2.54,-2.35,Informational interaction,Gaming,Y,2
CbPaZkGaEaA,21.76,-6.15,-2.84,2.86,2.68,3.24,Informational interaction,Gaming,Y,2
Cbx_RheT_mI,32.65,-3.68,-1.73,-0.68,-0.44,-0.76,Informational interaction,Entertainment,Y,2
ccDrGewSWno,15.61,2.29,1.6,2.52,0.14,-1.48,Involved persuasion,People & Blogs,Y,2
cCkkWWBH3Do,19.38,-2.98,-2.14,-1.49,-1.91,6.05,Informational interaction,Entertainment,Y,2
CdmB24d-sOc,21.11,-0.51,-0.39,-1.58,-0.92,-1.02,Informational interaction,Sports,Y,2
CDMhNx7ERB4,23.86,-4.02,0.98,-0.78,-0.75,2.81,Informational interaction,People & Blogs,Y,2
CduAT6q_cq4,20.59,-4.23,-4.19,1.4,0.88,0.24,Informational interaction,People & Blogs,Y,2
cDx6azPz0PA,32.38,-4.2,0.99,3.43,-2.56,4.12,Informational interaction,Education,Y,2
ceHMR0H6wNU,6.92,-6.25,-7.62,-4.06,-1.31,-0.59,Situated reportage,People & Blogs,Y,2
CEjK-QPemGg,19.32,-1.75,-4.38,0.0399999999999998,-1.32,2.52,Informational interaction,Sports,Y,2
CeQnrGndz8M,33.44,-1.35,-5.27,-0.57,-2.72,-0.0399999999999998,Informational interaction,People & Blogs,Y,2
CEyillO3TbM,14.26,-4.63,-3.49,-3.3,-2.85,2.95,Involved persuasion,Entertainment,Y,2
cGJBKbManZE,12.49,-4.75,-1.48,-6.11,-1.61,-2.62,Involved persuasion,Sports,Y,2
cGSJXBTBLcs,18.5,-1.26,1.02,0.58,-2.66,0.36,Informational interaction,Sports,Y,2
Ch6ql9ygK8o,1.38,-3.83,3.74,5.03,0.8,1.19,Involved persuasion,Gaming,Y,2
chzY7eS0eW4,-7.81,-0.35,-2.59,-7.09,-2.25,-3.07,General narrative exposition,Sports,Y,2
cIgmuIRNz08,-3.89,3.86,-2.03,1.76,3.33,1.1,General narrative exposition,Film & Animation,Y,2
CJpYEegMPR0,1.76,0.34,2.89,3.06,0.27,-0.77,Involved persuasion,People & Blogs,Y,2
ckF61gPBQrg,29.01,-4.2,-2.2,-1.67,-1.37,3.72,Informational interaction,Pets & Animals,Y,2
cL8XXaoF7Wo,37.1,0.66,-2.07,-2.85,-2.52,-0.33,Informational interaction,People & Blogs,Y,2
ClV2szTWZKI,21.02,-6.22,-1.08,-1.68,-0.04,1.88,Informational interaction,Entertainment,Y,2
cm8MQa_RO-s,10.88,2.71,1.55,0.35,-0.59,-0.02,Involved persuasion,News & Politics,Y,2
CMD3BhON6kg,7.45,-2.84,-0.63,0.63,-2.5,3.64,Involved persuasion,News & Politics,Y,2
CmE-3ULDFMU,25.93,-4.12,-2.8,2.12,-1.77,0.67,Informational interaction,Gaming,Y,2
cmPXbOsBc_w,2.86,-0.66,0.0600000000000005,0.19,5.16,-0.09,Involved persuasion,Entertainment,Y,2
cmRb215fLOQ,17.56,-3.82,-3.54,-1.07,-0.83,-0.69,Informational interaction,Film & Animation,Y,2
CmsX_NL_xoo,-1.5,-3.93,-1.79,2.84,8.85,0.26,Involved persuasion,Howto & Style,Y,2
CN1BSmoFeUI,-0.53,-2.72,0.56,5.08,1.19,-0.71,Involved persuasion,Gaming,Y,2
cN7qjLHjArQ,29.32,-5.23,-4.76,4.78,0.0299999999999999,2.08,Informational interaction,Entertainment,Y,2
cnaPUQdLzFs,23.67,-3.93,2.11,3.63,-2.44,1.29,Informational interaction,Education,Y,2
cNhVEx9Kmt4,28.55,-2.54,-2.15,0.5,-1.96,0.74,Informational interaction,Gaming,Y,2
cnRaz0JBwO4,31.68,-0.81,1.09,6.18,-2.03,1.62,Informational interaction,Howto & Style,Y,2
cOnq1PRQDQY,0.75,-1.13,-5.69,-1.63,-1.31,-1.04,Situated reportage,Sports,Y,2
cOrNcktrmhk,35.1,-4.45,-5.64,-2.57,-1.08,1.55,Informational interaction,People & Blogs,Y,2
cou-dbSYtwA,9.28,-1.55,1.83,5.29,-0.56,1.16,Involved persuasion,News & Politics,Y,2
cOWyRPzOPBg,27.67,-4.2,-1.31,1.69,-0.8,2.57,Informational interaction,People & Blogs,Y,2
cOZFDXqFnEg,25.15,2.59,-3.12,-2.96,-2.58,-0.12,Informational interaction,Entertainment,Y,2
CPLYI-drRV4,9.08,0.0100000000000001,-0.21,-0.59,-2.67,0.72,Involved persuasion,Sports,Y,2
Cpn1q1H_Tf4,14.5,-3.25,-1.11,0.18,-2.14,1.04,Involved persuasion,Entertainment,Y,2
CPOg2IR4i2U,15.81,-2.1,-4.64,4.37,-0.15,-0.1,Involved persuasion,Entertainment,Y,2
CQzLFmi6DRs,36.93,-3.12,-7.27,3.83,-1.12,-0.16,Informational interaction,Gaming,Y,2
cr7oa6IQ6tQ,24.93,-5.73,-3.16,-0.4,-3.06,3.67,Informational interaction,Gaming,Y,2
CrnoCF6bxf4,20.7,-2.29,-0.37,0.76,-2.63,-0.3,Informational interaction,Sports,Y,2
CRoin_KyHv0,27.29,-0.83,-1.44,2.01,-0.67,3.81,Informational interaction,People & Blogs,Y,2
CrSLWS1hT7k,12.51,-1.64,-3.65,-1.73,-0.3,-0.67,Involved persuasion,Gaming,Y,2
cRurc2bMKYA,13.85,-3.98,0.36,-3.94,0.42,3.03,Involved persuasion,People & Blogs,Y,2
CrYhl-pQUME,19.91,-2.58,-1.63,3.34,-0.44,2.45,Informational interaction,Sports,Y,2
crzSfJdod6Y,15.8,-2.77,-3.16,4.43,0.41,2.17,Involved persuasion,News & Politics,Y,2
cSGxcVGJcLs,23.49,-3.31,-2.07,-3.71,-3.53,0.29,Informational interaction,Gaming,Y,2
Ct87tpo1sNs,13.31,1.45,0.12,-4.34,-2.21,-0.73,Imaginative narrative,People & Blogs,Y,2
CtCWikq7M_s,9.5,-2.56,-1.93,2.48,1.66,-1.64,Involved persuasion,Howto & Style,Y,2
CtE_ooB_FM4,25.21,-5.49,-0.69,0.94,-2.45,-0.73,Informational interaction,Gaming,Y,2
cu-_SqghHRI,47.58,-3.98,-7.88,-4.13,3.26,2.97,Intimate interpersonal interaction,Music,Y,2
cU5VPb4LD7s,19.54,-3.01,-2.74,-3.23,-3.24,0.22,Informational interaction,Gaming,Y,2
CuCqlZs30hk,17.72,-3.44,-0.36,-0.4,-1.74,-0.98,Informational interaction,Sports,Y,2
CuR3GAZyXIc,10.58,-3.58,-1.73,1.54,2.53,-0.24,Involved persuasion,People & Blogs,Y,2
Cv-k_sUqV5E,16.77,-5.45,-2.8,0.6,-3.59,4.19,Involved persuasion,People & Blogs,Y,2
cv420jStjgg,12.87,2.47,-1.28,2.31,-1.63,0.5,Imaginative narrative,Film & Animation,Y,2
CvjoXdC-WkM,36.79,-3.52,-2.66,0.0900000000000001,-2.75,-0.49,Informational interaction,Film & Animation,Y,2
CVLlhyd9A2Q,29.11,-0.83,-0.36,-2.97,-2.5,-0.5,Informational interaction,People & Blogs,Y,2
CVMEZUUdDc4,19.71,-1.5,-5.19,-1.82,-2.67,3.21,Informational interaction,Sports,Y,2
cvSXkCyXsVI,19.45,-4.34,2.32,0.7,-0.87,0.95,Informational interaction,Education,Y,2
cW7QrqMatAY,27.5,1.31,-4.18,0.97,-3.52,-1.14,Informational interaction,Entertainment,Y,2
cwaGlpz-cio,1.07,7.38,0.08,5.6,-0.97,-0.05,Imaginative narrative,Entertainment,Y,2
cxDv6h0vuXs,17.99,-2.7,-4.02,-3.17,-3.42,1.12,Informational interaction,Gaming,Y,2
CXIrnU7Y_RU,-1.16,-2.58,1.68,8.93,-0.92,-0.55,Involved persuasion,Entertainment,Y,2
CXvG2CBJ3SE,30.72,-5.71,-1.02,-2.75,-3.09,0.19,Informational interaction,Entertainment,Y,2
cyTE2X1-mkY,22.72,-1.89,0.53,4.1,-1.07,3.12,Informational interaction,Nonprofits & Activism,Y,2
CzAILMhn01E,21.51,-6.09,-7.23,-0.77,2.77,-2.28,Informational interaction,People & Blogs,Y,2
CZJvBfoHDk0,44.29,-3.91,-3.02,-1.61,-1.75,-0.88,Intimate interpersonal interaction,Entertainment,Y,2
cZMIIWWCVBM,29.55,-3.42,-1.44,1.09,-1.33,-0.45,Informational interaction,Gaming,Y,2
d0BR8pP8AmM,21.16,-2.1,-1.95,-1.14,-3.17,1.19,Informational interaction,Nonprofits & Activism,Y,2
d1jXTzpWQeQ,17.97,-0.1,0.29,3.18,-0.92,-0.81,Informational interaction,People & Blogs,Y,2
d1v170oM67U,4.08,-1.34,1.62,-0.9,-3.0,-0.2,Involved persuasion,Education,Y,2
D5RIFy5uJ34,31.98,-3.58,-1.66,0.97,-1.48,-1.26,Informational interaction,Entertainment,Y,2
D6Axo4CbWJE,32.04,-5.48,-3.95,2.18,-2.09,1.67,Informational interaction,Gaming,Y,2
d6G0h8ocRIA,21.47,-2.44,0.15,0.75,-0.78,-0.31,Informational interaction,News & Politics,Y,2
d6mHQCqbD2c,22.23,1.98,-5.12,-3.63,-0.92,-1.12,Informational interaction,News & Politics,Y,2
d7I_Ilm0m24,25.44,-4.77,-1.68,6.04,-3.92,1.0,Informational interaction,Entertainment,Y,2
d83MuiK6Cd0,15.42,-5.06,-2.18,1.43,-3.24,-0.12,Involved persuasion,People & Blogs,Y,2
D9FE32qGSU0,10.49,-1.42,-3.44,9.28,-0.56,3.2,Involved persuasion,Howto & Style,Y,2
dahiFa_FxCc,27.93,-4.33,-1.85,-0.3,-1.35,2.43,Informational interaction,Education,Y,2
dbgSH_527uI,16.97,-3.39,-5.97,0.78,-2.17,2.07,Informational interaction,Travel & Events,Y,2
DcMr1GC2_bU,-16.01,-1.25,-0.59,-5.52,-1.74,-0.57,Learned exposition,People & Blogs,Y,2
DdlpeJhF2hE,22.05,-5.26,-6.37,2.66,-3.5,1.66,Informational interaction,People & Blogs,Y,2
de5FXjHSLdI,17.51,-4.95,-2.93,1.75,-2.97,3.12,Informational interaction,Gaming,Y,2
DeChE_I83WQ,18.57,-1.93,-6.39,-0.5,-2.72,-1.83,Informational interaction,People & Blogs,Y,2
DEmRCyZa2x8,14.06,-4.05,3.83,1.04,-1.45,2.99,Involved persuasion,News & Politics,Y,2
dG5IVE2gzdY,15.92,-1.05,-2.58,0.26,-0.65,0.65,Involved persuasion,News & Politics,Y,2
dGjrUwSKo5g,37.42,-5.64,-1.4,-2.92,-0.51,4.01,Informational interaction,People & Blogs,Y,2
DgRBLN3qnj4,19.28,-4.93,-0.31,3.08,-1.49,0.17,Informational interaction,People & Blogs,Y,2
dGzuXFmuiDo,11.77,0.0100000000000001,-3.27,-3.79,-0.3,-0.74,Imaginative narrative,Film & Animation,Y,2
dhAmMXCBIcg,15.35,-0.98,-1.41,-0.68,-1.36,1.0,Involved persuasion,Science & Technology,Y,2
DHbG5uOicyo,-0.89,1.74,-0.69,-3.66,-3.92,-2.78,Imaginative narrative,Education,Y,2
DHh5RqSTZPU,35.64,-3.45,0.12,-8.06,-2.27,0.0700000000000001,Informational interaction,Gaming,Y,2
dIAHS3nmCCA,27.09,-2.78,-4.97,6.37,-3.14,0.43,Informational interaction,Gaming,Y,2
dIbCLexvocs,-5.06,0.63,-0.1,-0.67,-1.23,-0.01,General narrative exposition,Sports,Y,2
diMlMkrwsKQ,9.45,-4.46,-1.13,3.96,-1.8,2.12,Involved persuasion,Science & Technology,Y,2
diooY8ZweIs,23.21,-5.8,-5.33,-6.48,-1.62,0.41,Informational interaction,Entertainment,Y,2
DiyIy5y97w0,30.75,-3.26,-0.62,6.19,-0.86,3.36,Informational interaction,People & Blogs,Y,2
dJo8HcuYWqY,4.06,-3.34,1.68,1.1,-0.26,0.38,Involved persuasion,Science & Technology,Y,2
dk50lKuG41g,7.59,-2.22,0.43,-2.62,-1.46,3.52,Involved persuasion,Entertainment,Y,2
DkCj7jmNUhA,33.54,-2.4,-2.92,-2.86,-3.52,1.91,Informational interaction,Howto & Style,Y,2
DKoazY4WJA8,34.56,-3.97,-3.12,-0.62,-2.83,-0.98,Informational interaction,Entertainment,Y,2
dKYpuWcZ_Ak,6.2,-5.11,-0.5,7.38,0.84,-0.54,Involved persuasion,Howto & Style,Y,2
dlBRM6K45W8,35.59,-0.0299999999999999,-3.95,-5.43,-3.92,1.48,Informational interaction,Howto & Style,Y,2
DLEtPN_vvng,23.78,-5.17,-1.18,-4.39,-2.65,2.05,Informational interaction,Film & Animation,Y,2
dLgiiNybgFE,6.06,-4.56,-1.86,3.75,-1.18,1.59,Involved persuasion,Science & Technology,Y,2
DLHanjrfzYQ,10.51,-4.99,-0.02,0.18,-1.27,0.84,Involved persuasion,Science & Technology,Y,2
DLvm8Ws_UdM,39.51,-5.42,-4.14,-6.5,-3.92,-1.64,Intimate interpersonal interaction,Gaming,Y,2
DLwFxQxJ4ho,-1.52,0.66,-0.37,0.62,3.97,1.88,Involved persuasion,Gaming,Y,2
DL_N1xHrapw,18.26,-5.28,-2.62,-1.15,-3.18,0.21,Informational interaction,Sports,Y,2
DmfbCFWkiN4,28.92,-2.56,-1.58,0.99,-0.57,1.05,Informational interaction,Pets & Animals,Y,2
DnmQihU-Bh0,24.65,-0.75,-2.87,0.67,-3.76,-0.31,Informational interaction,Gaming,Y,2
do1lP632bY8,2.0,2.03,-0.62,3.23,-0.47,2.36,Involved persuasion,Education,Y,2
do4-ph6FUb4,35.12,-3.21,-0.37,-0.76,-2.74,3.41,Informational interaction,Sports,Y,2
DO571fpVdoI,14.98,-4.14,-1.0,-0.74,-1.62,1.33,Involved persuasion,Education,Y,2
DobeLjor3j4,13.89,-7.16,-3.56,-7.7,-3.92,-1.93,Involved persuasion,Gaming,Y,2
dOenUy-iaKk,27.66,-4.39,-2.62,-4.16,-2.2,0.52,Informational interaction,People & Blogs,Y,2
DOvXhgToGaM,30.34,-4.95,-1.0,0.63,-2.74,3.96,Informational interaction,Howto & Style,Y,2
dpHRFr3rk6E,0.859999999999999,-1.98,2.61,-0.61,2.31,-2.2,Involved persuasion,News & Politics,Y,2
DpjxOSNTMzg,19.0,-4.31,-3.3,0.57,-0.79,3.29,Informational interaction,Autos & Vehicles,Y,2
dpOh0cR3pCo,34.61,-6.27,-8.05,-4.84,-3.0,2.26,Informational interaction,Entertainment,Y,2
DpSs0-ynw9A,17.44,-2.79,-2.73,2.72,-1.23,0.81,Informational interaction,Education,Y,2
drjspjPB_GI,27.88,-3.64,-0.11,3.27,-2.93,0.24,Informational interaction,Entertainment,Y,2
dRlBspPypmA,21.51,-3.44,0.15,4.58,-1.88,7.19,Informational interaction,Entertainment,Y,2
Drn_y8gXK1o,0.15,-6.59,-3.77,-5.01,-3.92,-3.5,Situated reportage,Education,Y,2
drqT8Tne2AU,-16.01,-1.3,4.56,0.51,9.31,-2.29,Scientific exposition,People & Blogs,Y,2
dRZCr9GJmsU,37.34,-2.64,-5.2,-0.8,-2.37,1.62,Informational interaction,Music,Y,2
Ds5uhgRnqP4,12.53,-4.3,-4.76,-1.03,-2.74,4.41,Involved persuasion,Autos & Vehicles,Y,2
dseokXDkoV8,13.9,-4.21,-2.12,4.86,-1.89,2.77,Involved persuasion,Education,Y,2
DsJNTIIc400,23.55,-4.54,-1.95,3.43,-0.24,-0.86,Informational interaction,People & Blogs,Y,2
dsnFhrTzYvQ,4.71,-5.01,-0.23,1.03,-1.99,1.26,Involved persuasion,Sports,Y,2
DsRg3Zh-1k0,23.15,-2.29,0.74,-3.06,-3.2,-0.45,Informational interaction,Entertainment,Y,2
dTHI3-gTOVg,27.27,0.69,-0.12,0.89,-0.71,-0.12,Informational interaction,Sports,Y,2
DtvPoqgo7qY,54.72,6.06,-3.58,-3.08,-3.42,0.76,Intimate interpersonal interaction,Gaming,Y,2
DuuA12mi-h0,33.82,-3.64,-3.75,-2.69,-3.05,-0.12,Informational interaction,Gaming,Y,2
DV2JF2jfpiY,-2.92,-4.37,5.58,3.3,2.85,4.0,Involved persuasion,Nonprofits & Activism,Y,2
dVbXlfYa24A,18.15,-3.64,-2.16,4.49,-2.7,0.0,Informational interaction,Gaming,Y,2
dWeNmTB99FE,-2.02,-2.93,-2.66,-3.46,-0.72,-1.42,General narrative exposition,Sports,Y,2
